id,Rank,Song,Artist,Year,UnprunedLyricalComplexity,TotalWords,TitleInLyrics,PosSent,NegSent,CompoundSent,Repetitiveness,SpotifyID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1,100,how deep is your love,calvin harris and disciples,2015,75,370,True,0.324,0.028,0.9994,0.797,22mek4IiqubGD9ctzxc69s,0.738,0.868,11,-4.373,0,0.0731,0.0389,0.00171,0.388,0.336,122.003,212640
2,98,night changes,one direction,2015,103,289,True,0.027,0.101,-0.9628,0.644,5O2P9iiztwhomNh8xkR9lJ,0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001,226600
3,99,back to back,drake,2015,222,525,True,0.174,0.085,0.9946,0.577,5lFDtgWsjRJu8fPOAyJIAK,0.635,0.472,8,-3.869,0,0.511,0.00898,0.0,0.117,0.373,174.008,170638
4,96,el perdon,nicky jam and enrique iglesias,2015,115,372,False,0.01,0.213,-0.9974,0.691,unknown,,,,,,,,,,,,
5,95,waves,mr probz,2015,58,126,False,0.141,0.019,0.9072,0.54,unknown,,,,,,,,,,,,
6,94,here,alessia cara,2015,187,465,True,0.14,0.101,0.9689,0.598,1wYZZtamWTQAoj8B812uKQ,0.376,0.821,0,-3.974,1,0.104,0.0785,0.0,0.0823,0.331,120.462,199453
7,93,ghost,ella henderson,2015,116,422,True,0.102,0.255,-0.9978,0.725,2FiceoWDJ67rrmb5tGBpgE,0.682,0.836,9,-3.777,1,0.0425,0.0464,3.13e-06,0.0797,0.485,104.987,216107
8,92,dont,ed sheeran,2015,219,588,True,0.175,0.091,0.9959,0.628,unknown,,,,,,,,,,,,
9,91,heartbeat song,kelly clarkson,2015,106,406,True,0.091,0.015,0.9808,0.739,7FC9Lng8iXU081lbigu8m8,0.49,0.798,6,-3.66,1,0.0489,0.0137,0.0,0.0627,0.479,149.109,198733
10,90,chandelier,sia,2015,115,265,True,0.123,0.053,0.9594,0.566,2s1sdSqGcKxpPr5lCl7jAV,0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,216120
11,89,budapest,george ezra,2015,76,227,True,0.155,0.067,0.9772,0.665,7q0aQpiLv5tIsupcgQ3Ny4,0.717,0.455,5,-8.303,1,0.0276,0.0846,0.0,0.11,0.389,127.81,200733
12,88,blessings,big sean featuring drake,2015,331,881,True,0.215,0.101,0.9989,0.624,1bzM1cd6oqFozdr4wK6HdR,0.789,0.621,10,-7.685,0,0.283,0.315,0.0,0.136,0.158,118.891,252040
13,87,kick the dust up,luke bryan,2015,124,321,True,0.1,0.0,0.9826,0.614,5g15o2Sm55Hn9ShK5yEXgp,0.596,0.855,1,-2.255,1,0.0474,0.197,0.0,0.11,0.811,172.082,190587
14,86,ayo,chris brown and tyga,2015,212,600,True,0.194,0.21,-0.9806,0.647,0k6DnZMLoEUH8NGD5zh2SE,0.823,0.563,6,-5.095,1,0.0443,0.0399,0.0,0.0851,0.682,98.031,225227
15,97,she knows,neyo featuring juicy j,2015,,,,,,,,7seTcUFOhn5caSDbiSfsp0,0.706,0.572,8,-5.799,0,0.0326,0.0262,0.0,0.585,0.574,139.982,214726
16,84,downtown,macklemore and ryan lewis featuring eric nally melle mel kool moe dee and grandmaster caz,2015,301,699,True,0.124,0.095,0.9521,0.569,4kY7rYtE4OQkJNq22OIYRI,0.532,0.825,9,-5.287,1,0.0468,0.18,0.0,0.296,0.96,169.961,195867
17,83,hit the quan,ilovememphis,2015,168,452,True,0.082,0.126,-0.9387,0.628,4OjuzM3rTWp3q60mEldNSF,0.741,0.488,8,-8.253,1,0.362,0.000235,0.0,0.0488,0.625,160.018,181081
18,82,tuesday,ilovemakonnen featuring drake,2015,172,328,True,0.056,0.082,-0.8618,0.476,2znzyzlAUc8Z1Ikq9aFOcx,0.77,0.664,0,-5.604,1,0.211,0.215,0.000118,0.105,0.472,140.163,321987
19,81,lay me down,sam smith,2015,100,201,False,0.174,0.119,0.9426,0.502,64GRDrL1efgXclrhVCeuA0,0.468,0.19,4,-11.138,1,0.0373,0.919,0.0,0.107,0.326,125.319,219536
20,80,bang bang,jessie j ariana grande and nicki minaj,2015,164,380,True,0.143,0.077,0.9796,0.568,0puf9yIluy9W0vpMEUoAnN,0.706,0.786,0,-3.417,0,0.0909,0.26,0.0,0.38,0.749,150.035,199387
21,79,coco,ot genasis,2015,84,326,True,0.276,0.106,0.998,0.742,unknown,,,,,,,,,,,,
22,78,the hanging tree,james newton howard featuring jennifer lawrence,2015,57,223,True,0.071,0.146,-0.9201,0.744,416MsJxvxSKY96DCmbJIRs,0.255,0.085,9,-17.969,0,0.0359,0.329,6.83e-05,0.201,0.109,94.26,218507
23,77,habits stay high,tove lo,2015,109,325,False,0.074,0.099,-0.6405,0.665,unknown,,,,,,,,,,,,
24,76,like im gonna lose you,meghan trainor featuring john legend,2015,106,289,True,0.284,0.126,0.9954,0.633,unknown,,,,,,,,,,,,
25,75,marvin gaye,charlie puth featuring meghan trainor,2015,102,341,True,0.176,0.067,0.991,0.701,6ukMqDxnOPOgoHdak7Kyp3,0.795,0.616,1,-5.281,0,0.06,0.417,0.0,0.349,0.815,110.015,190453
26,74,dear future husband,meghan trainor,2015,154,376,True,0.239,0.088,0.9968,0.59,3cU2wBxuV6nFiuf6PJZNlC,0.655,0.782,1,-4.789,1,0.185,0.375,0.0,0.317,0.832,79.427,184227
27,73,exs  ohs,elle king,2015,109,264,False,0.137,0.047,0.9643,0.587,unknown,,,,,,,,,,,,
28,72,classic man,jidenna featuring roman gianarthur,2015,157,500,True,0.175,0.058,0.9914,0.686,3G7XYAwtxtoGK7fAm4IlD9,0.79,0.585,8,-6.058,1,0.0348,0.185,0.0,0.292,0.585,94.072,226000
29,85,house party,sam hunt,2015,105,335,True,0.148,0.108,0.9366,0.687,1TwLKNsCnhi1HxbIi4bAW0,0.747,0.861,8,-5.251,1,0.0514,0.113,0.0,0.026,0.859,103.966,190240
30,70,no type,rae sremmurd,2015,140,436,True,0.146,0.127,-0.4671,0.679,4scpF6J5uMBvoh6sFB7EL1,0.888,0.483,6,-7.797,1,0.154,0.013,4.85e-06,0.0926,0.226,125.008,200080
31,69,all eyes on you,meek mill featuring chris brown and nicki minaj,2015,151,425,True,0.13,0.108,0.9337,0.645,0hy1SOTEn9ifXTzOwnCwEr,0.589,0.658,11,-5.288,0,0.203,0.0242,0.0,0.118,0.251,77.521,223973
32,68,chains,nick jonas,2015,68,323,True,0.213,0.07,0.9952,0.789,5Eg4TsPcqNbIjd8ADMZosg,0.589,0.611,0,-5.881,0,0.0459,0.0151,0.0,0.0757,0.121,76.006,203107
33,67,one last time,ariana grande,2015,95,390,True,0.076,0.164,-0.9854,0.756,7xoUc6faLbCqZO6fQEYprd,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.026,197267
34,66,truffle butter,nicki minaj featuring drake and lil wayne,2015,245,490,True,0.105,0.113,-0.8167,0.5,3keUgTGEoZJt0QkzTB6kHg,0.896,0.672,10,-6.875,0,0.0479,0.0525,3.14e-05,0.12,0.523,105.098,219227
35,65,drag me down,one direction,2015,97,386,True,0.104,0.123,0.4732,0.749,2K87XMYnUMqLcX3zvtAF4G,0.73,0.703,0,-5.672,0,0.0369,0.109,0.0,0.0657,0.595,138.113,192120
36,64,slow motion,trey songz,2015,91,281,True,0.042,0.0,0.8885,0.676,4NYwy0R3NdvORX2B6OZXBT,0.733,0.408,7,-7.834,0,0.0388,0.679,3.92e-05,0.11,0.291,94.947,197854
37,63,girl crush,little big town,2015,102,229,True,0.222,0.143,0.8919,0.555,11qh54D0PKkBwelpDxxiEU,0.5,0.225,0,-10.22,1,0.0302,0.842,0.0,0.112,0.355,173.788,193320
38,62,the heart wants what it wants,selena gomez,2015,166,360,True,0.139,0.158,-0.8328,0.539,2dRvMEW4EwySxRUtEamSfG,0.616,0.789,7,-4.874,0,0.0377,0.053,0.0,0.142,0.621,83.066,227360
39,61,711,beyonce,2015,100,570,False,0.076,0.032,0.9697,0.825,unknown,,,,,,,,,,,,
40,71,riptide,vance joy,2015,106,341,True,0.13,0.038,0.9878,0.689,3JvrhDOgAt6p7K8mDyZwRd,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,204280
41,59,you know you like it,dj snake and alunageorge,2015,91,291,True,0.146,0.218,-0.986,0.687,57kR5SniQIbsbVoIjjOUDa,0.426,0.722,5,-5.369,0,0.196,0.0113,1.27e-06,0.262,0.25,196.133,247267
42,58,stay with me,sam smith,2015,89,194,True,0.224,0.118,0.9888,0.541,5Nm9ERjJZ5oyfXZTECKmRt,0.418,0.42,0,-6.444,1,0.0414,0.588,6.39e-05,0.11,0.184,84.094,172724
43,57,wildest dreams,taylor swift,2015,140,384,True,0.168,0.074,0.9924,0.635,59HjlYCeBsxdI0fcm3zglw,0.553,0.664,8,-7.417,1,0.0741,0.0709,0.0056,0.106,0.467,140.06,220440
44,56,love me harder,ariana grande and the weeknd,2015,94,393,True,0.33,0.03,0.9995,0.761,5J4ZkQpzMUFojo1CtAZYpn,0.472,0.714,1,-4.389,0,0.0334,0.00937,0.0,0.0764,0.24,98.992,236133
45,55,i dont mind,usher featuring juicy j,2015,206,662,True,0.105,0.057,0.9852,0.689,unknown,,,,,,,,,,,,
46,54,renegades,x ambassadors,2015,59,138,True,0.146,0.063,0.8658,0.572,0fYVliAYKHuPmECRs1pbRf,0.526,0.862,2,-6.003,1,0.0905,0.0144,0.0597,0.229,0.528,90.052,195200
47,53,cool for the summer,demi lovato,2015,86,315,True,0.202,0.056,0.992,0.727,2zFF6jG5hQArbzcXz3KUWk,0.584,0.614,5,-5.587,0,0.0363,0.00506,9.7e-05,0.0802,0.28,114.075,214740
48,52,elastic heart,sia,2015,121,252,True,0.099,0.15,-0.9041,0.52,5S9lfZu1YF8xKkgSsqL2Bd,0.421,0.791,9,-4.998,1,0.0496,0.0117,1.48e-05,0.146,0.499,130.075,257200
49,51,only,nicki minaj featuring drake lil wayne and chris brown,2015,326,866,True,0.149,0.231,-0.9987,0.624,4MRT0dDbhqFKl67WzhUbSw,0.573,0.495,8,-7.245,0,0.592,0.405,0.0,0.0969,0.255,179.196,312027
50,50,nasty freestyle,twayne,2015,,,,,,,,unknown,,,,,,,,,,,,
51,49,flex ooh ooh ooh,rich homie quan,2015,165,499,False,0.158,0.148,-0.2621,0.669,unknown,,,,,,,,,,,,
52,48,bitch better have my money,rihanna,2015,100,380,True,0.209,0.262,-0.991,0.737,0NTMtAO2BV4tnGvw9EgBVq,0.778,0.741,10,-4.97,0,0.0484,0.0538,2.04e-06,0.29,0.364,102.95,219306
53,60,uma thurman,fall out boy,2015,90,315,True,0.323,0.039,0.9989,0.714,5PUawWFG1oIS2NwEcyHaCr,0.623,0.956,4,-2.608,0,0.0753,0.119,0.000227,0.617,0.739,149.958,211573
54,46,animals,maroon 5,2015,111,465,True,0.256,0.085,0.9984,0.761,2bL2gyO6kBdLkNSkxXNh6x,0.279,0.742,4,-6.46,0,0.0898,0.000185,0.0,0.593,0.328,189.868,231013
55,45,take your time,sam hunt,2015,148,401,True,0.196,0.041,0.9971,0.631,6DEaND0SHv3sC11xobZLiy,0.558,0.719,11,-5.603,1,0.0419,0.101,0.0,0.212,0.483,158.031,243707
56,47,i dont fuck with you,big sean featuring e40,2015,286,961,True,0.167,0.232,-0.9982,0.702,unknown,,,,,,,,,,,,
57,43,centuries,fall out boy,2015,116,329,True,0.164,0.083,0.9806,0.647,04aAxqtGp5pv12UXAg4pkq,0.385,0.866,4,-2.817,0,0.0697,0.004,0.0,0.111,0.551,176.014,228360
58,42,fourfiveseconds,rihanna kanye west and paul mccartney,2015,128,244,True,0.1,0.094,-0.1126,0.475,78TTtXnFQPzwqlbtbwqN0y,0.576,0.267,2,-5.668,1,0.044,0.878,0.0,0.119,0.326,205.888,188238
59,41,somebody,natalie la rose featuring jeremih,2015,88,389,True,0.16,0.118,0.9841,0.774,7ioiB40H9xKs04QtIso2I3,0.83,0.52,0,-8.714,1,0.0376,0.000792,1.25e-05,0.0656,0.735,104.99,189907
60,40,locked away,r city featuring adam levine,2015,142,532,True,0.181,0.073,0.9973,0.733,0sQLhT32E9ZG2zn5iYR6nN,0.508,0.677,1,-5.696,1,0.0656,0.328,0.0,0.0491,0.575,121.928,227280
61,39,time of our lives,pitbull and neyo,2015,187,614,False,0.114,0.129,-0.9359,0.695,2bJvI42r8EF3wxjOuDav4r,0.72,0.802,1,-5.797,1,0.0582,0.0921,0.0,0.694,0.723,124.043,229360
62,38,jealous,nick jonas,2015,102,326,True,0.209,0.142,0.9816,0.687,5NQJnRpJHRaupdegphntQT,0.684,0.71,11,-3.614,0,0.0779,0.0132,0.0,0.444,0.451,93.007,222187
63,37,talking body,tove lo,2015,94,395,True,0.162,0.124,0.9824,0.762,2tpfxAXiI52znho4WE3XFA,0.736,0.761,4,-5.449,0,0.0338,0.0966,0.0,0.0823,0.114,119.999,238427
64,36,stitches,shawn mendes,2015,125,388,True,0.127,0.212,-0.9909,0.678,5jsw9uXEGuKyJzs0boZ1bT,0.746,0.754,1,-6.681,1,0.067,0.0152,0.0,0.0486,0.764,149.882,206880
65,35,hello,adele,2015,139,352,True,0.052,0.077,-0.0031,0.605,4sPmO7WMQUAf45kwMOtONw,0.481,0.451,5,-6.095,0,0.0347,0.336,0.0,0.0872,0.289,157.966,295493
66,34,photograph,ed sheeran,2015,121,312,True,0.144,0.051,0.9888,0.612,3hb2ScEVkGchcAQqrPLP0R,0.513,0.877,8,-3.756,1,0.0292,0.000932,0.000163,0.136,0.389,145.919,258920
67,33,what do you mean,justin bieber,2015,103,433,True,0.081,0.081,0.9202,0.762,4B0JvthVoAAuygILe3n4Bs,0.837,0.571,5,-8.273,0,0.0922,0.61,0.000898,0.0849,0.801,125.034,205680
68,32,gdfr,flo rida featuring sage the gemini and lookas,2015,139,391,False,0.031,0.118,-0.9788,0.645,26rdOwwjC2UnweK3xeS58u,0.657,0.827,5,-4.036,1,0.0734,0.000704,0.00534,0.065,0.69,145.889,190186
69,31,hey mama,david guetta featuring nicki minaj bebe rexha and afrojack,2015,139,509,True,0.183,0.102,0.9893,0.727,5b2bu6yyATC1zMXDGScJ2d,0.596,0.73,9,-4.091,1,0.151,0.24,0.0,0.325,0.525,85.979,192560
70,30,hotline bling,drake,2015,122,425,True,0.106,0.02,0.9898,0.713,0wwPcA6wtMf6HUMpIRdeP7,0.903,0.621,2,-8.132,1,0.0578,0.00302,0.000186,0.0504,0.553,134.969,267067
71,29,style,taylor swift,2015,125,371,True,0.103,0.007,0.9894,0.663,4lIxdJw6W3Fg4vUIYCB0S5,0.598,0.786,2,-5.572,1,0.0382,0.00256,0.00143,0.117,0.456,95.021,231000
72,28,all about that bass,meghan trainor,2015,132,446,True,0.106,0.127,-0.7033,0.704,0ifSeVGUr7py5GggttDhXw,0.811,0.879,9,-3.724,1,0.0514,0.0476,1.91e-06,0.109,0.962,134.064,188754
73,27,good for you,selena gomez featuring aap rocky,2015,163,467,True,0.283,0.052,0.999,0.651,578Eooad7oUyn4stovZiPg,0.607,0.673,5,-6.484,0,0.0611,0.181,0.0,0.069,0.215,88.952,221280
74,26,im not the only one,sam smith,2015,92,238,True,0.044,0.137,-0.9702,0.613,unknown,,,,,,,,,,,,
75,25,honey im good,andy grammer,2015,103,403,True,0.229,0.101,0.9959,0.744,unknown,,,,,,,,,,,,
76,24,post to be,omarion featuring chris brown and jhene aiko,2015,180,660,True,0.132,0.12,0.6717,0.727,0fgZUSa7D7aVvv3GfO0A1n,0.733,0.676,10,-5.655,0,0.0432,0.0697,0.0,0.208,0.701,97.448,226581
77,23,worth it,fifth harmony featuring kid ink,2015,132,628,True,0.211,0.018,0.9987,0.79,41Fflg7qHiVOD6dEPvsCzO,0.884,0.765,8,-3.865,1,0.0882,0.063,7.04e-06,0.118,0.594,99.987,224573
78,22,lips are movin,meghan trainor,2015,111,425,True,0.084,0.058,0.8333,0.739,6gj08XDlv9Duc2fPOxUmVD,0.775,0.825,7,-5.402,1,0.0464,0.0506,1.03e-06,0.111,0.95,139.091,182667
79,21,679,fetty wap featuring remy boyz,2015,203,490,True,0.108,0.083,0.9159,0.586,5NQbUaeTEOGdD6hHcre0dZ,0.618,0.717,7,-5.738,1,0.318,0.00256,0.0,0.625,0.603,190.05,196693
80,20,fight song,rachel platten,2015,109,321,True,0.123,0.227,-0.9919,0.66,37f4ITSlgPX81ad2EvmVQr,0.564,0.714,7,-4.987,1,0.129,0.0549,0.0,0.155,0.33,175.924,204013
81,19,"where are ""u now",skrillex and diplo featuring justin bieber,2015,73,296,False,0.039,0.032,0.1759,0.753,unknown,,,,,,,,,,,,
82,18,shake it off,taylor swift,2015,114,520,True,0.101,0.45,-0.9997,0.781,5xTtaWoae3wi06K5WfVUUH,0.648,0.785,7,-5.414,1,0.165,0.0561,0.0,0.148,0.943,160.02,219200
83,17,want to want me,jason derulo,2015,84,383,True,0.111,0.02,0.9382,0.781,7oGZAicScQt96OAW4AruYy,0.775,0.68,0,-5.508,0,0.0629,0.00906,0.0,0.109,0.656,114.025,207719
84,16,lean on,major lazer and dj snake featuring mo,2015,94,294,True,0.151,0.175,-0.296,0.68,5wldXGLEOoRXxMWJ8rIUWE,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,176561
85,15,bad blood,taylor swift featuring kendrick lamar,2015,140,516,True,0.103,0.196,-0.9958,0.729,273dCMFseLcVsoSWx59IoE,0.652,0.802,7,-6.114,1,0.181,0.0871,6.45e-06,0.148,0.295,170.157,211933
86,14,take me to church,hozier,2015,171,462,True,0.218,0.239,-0.9754,0.63,1CS7Sd1u5tWkstBhpssyjP,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,241693
87,13,love me like you do,ellie goulding,2015,111,370,True,0.307,0.059,0.999,0.7,2l8w0zZVn4AZNuzrht7MRT,0.262,0.606,8,-6.646,1,0.0484,0.247,0.0,0.125,0.275,189.857,252534
88,12,cant feel my face,the weeknd,2015,87,468,True,0.083,0.302,-0.9993,0.814,unknown,,,,,,,,,,,,
89,11,cheerleader,omi,2015,91,279,True,0.264,0.072,0.9951,0.674,023OVLNzXhX0j7CxswUt6D,0.78,0.68,4,-6.081,1,0.0305,0.141,1.2e-05,0.138,0.594,118.026,180560
90,10,the hills,the weeknd,2015,149,471,True,0.111,0.208,-0.997,0.684,7fBv7CLKzipRk6EC6TWHOB,0.58,0.565,0,-7.065,0,0.0488,0.0671,0.0,0.135,0.138,112.986,242253
91,44,my way,fetty wap featuring monty,2015,192,451,True,0.046,0.197,-0.9981,0.574,1WoOzgvz6CgH4pX6a1RKGp,0.748,0.741,6,-3.103,1,0.0531,0.00419,0.0,0.147,0.537,128.077,213053
92,8,watch me,silento,2015,37,407,True,0.035,0.065,-0.9716,0.909,unknown,,,,,,,,,,,,
93,7,blank space,taylor swift,2015,199,515,True,0.164,0.192,-0.9569,0.614,1p80LdxRV74UKvL8gnD7ky,0.752,0.678,5,-5.421,1,0.0646,0.085,1.64e-06,0.13,0.583,96.009,231827
94,6,shut up and dance,walk the moon,2015,82,341,True,0.006,0.016,-0.5106,0.76,4kbj5MwxO1bq9wjT5g9HaA,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,199080
95,5,sugar,maroon 5,2015,112,442,True,0.301,0.069,0.9988,0.747,2iuZJX9X9P0GKaE93xcPjk,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,235493
96,4,trap queen,fetty wap,2015,184,550,True,0.049,0.108,-0.9788,0.665,2d8JP84HNLKhmd6IYOoupQ,0.746,0.873,7,-3.803,1,0.128,0.0244,0.0,0.354,0.817,148.075,222093
97,3,see you again,wiz khalifa featuring charlie puth,2015,171,486,True,0.122,0.059,0.9867,0.648,2JzZzZUQj3Qff7wapcbKjc,0.689,0.481,10,-7.503,1,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,229526
98,2,thinking out loud,ed sheeran,2015,129,319,True,0.23,0.057,0.9973,0.596,34gCuhDGsG4bRPIf9bb02f,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,281560
99,1,uptown funk,mark ronson featuring bruno mars,2015,161,566,True,0.076,0.067,0.8689,0.716,32OlwWuMpZ6b0aN2RZOeMS,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,269667
100,9,earned it,the weeknd,2015,86,297,True,0.321,0.069,0.9987,0.71,2PIvq1pGrUjY007X5y1UpM,0.66,0.382,2,-5.919,0,0.0304,0.391,0.0,0.0972,0.436,119.875,252227
101,99,somethin bad,miranda lambert and carrie underwood,2014,108,335,False,0.162,0.142,-0.0289,0.678,unknown,,,,,,,,,,,,
102,98,i dont dance,lee brice,2014,69,200,True,0.124,0.083,0.8703,0.655,unknown,,,,,,,,,,,,
103,97,0 to 100  the catch up,drake,2014,346,894,False,0.066,0.191,-0.9992,0.613,unknown,,,,,,,,,,,,
104,100,adore you,miley cyrus,2014,76,206,True,0.299,0.06,0.9964,0.631,5AnCLGg35ziFOloEnXK4uu,0.583,0.655,0,-5.407,1,0.0315,0.111,3.57e-06,0.113,0.201,119.759,278747
105,95,partition,beyonce,2014,192,517,True,0.13,0.035,0.9918,0.629,unknown,,,,,,,,,,,,
106,94,stay the night,zedd featuring hayley williams,2014,63,256,True,0.053,0.048,0.3459,0.754,2QtJA4gbwe1AcanB2p21aP,0.596,0.738,8,-3.109,1,0.0411,0.109,0.0,0.0947,0.461,127.961,217347
107,93,she looks so perfect,5 seconds of summer,2014,109,317,False,0.113,0.037,0.9842,0.656,1gugDOSMREb34Xo0c1PlxM,0.493,0.956,1,-4.221,0,0.138,0.000668,0.0,0.416,0.47,160.006,202496
108,92,white walls,macklemore  ryan lewis featuring schoolboy q and hollis,2014,296,637,True,0.128,0.111,0.8766,0.535,6I3KeXBT0E9MoMqYz8srVq,0.767,0.782,7,-5.545,1,0.14,0.0541,0.0,0.338,0.827,116.491,220319
109,91,beachin,jake owen,2014,110,222,True,0.212,0.012,0.992,0.505,5dNGORzxFb5z3v7vSAFkTU,0.527,0.902,6,-5.352,1,0.0601,0.344,4.63e-05,0.0669,0.709,181.964,191040
110,90,23,mike will madeit featuring miley cyrus wiz khalifa and juicy j,2014,,,,,,,,20FZrLl9zSbO9b3DhaqO6M,0.863,0.605,2,-5.231,1,0.0572,0.000366,3.71e-06,0.132,0.327,140.031,252520
111,96,studio,schoolboy q featuring bj the chicago kid,2014,151,517,True,0.081,0.075,0.6663,0.708,29gsi1zZrZxdStACmTQB0Z,0.709,0.589,8,-7.776,0,0.0433,0.0507,0.0,0.0585,0.58,133.922,278067
112,88,come with me now,kongos,2014,89,300,True,0.07,0.099,-0.844,0.703,2kWowW0k4oFymhkr7LmvzO,0.654,0.726,10,-3.803,0,0.0401,0.0311,6.35e-05,0.0618,0.728,103.987,211960
113,87,no mediocre,ti featuring iggy azalea,2014,246,732,True,0.146,0.264,-0.9991,0.664,38aECKrbMv2F5FsYYCewCQ,0.78,0.45,1,-9.539,1,0.0465,0.0826,0.0,0.0809,0.178,95.486,201600
114,86,amnesia,5 seconds of summer,2014,162,444,True,0.109,0.133,-0.6524,0.635,1JCCdiru7fhstOIF4N7WJC,0.572,0.499,2,-5.237,1,0.0311,0.0283,0.0,0.213,0.108,101.593,237248
115,85,cant remember to forget you,shakira featuring rihanna,2014,111,367,True,0.124,0.088,0.7372,0.698,unknown,,,,,,,,,,,,
116,89,believe me,lil wayne featuring drake,2014,324,932,True,0.098,0.125,-0.9715,0.652,6t2eIONH4Sax3R21QWiKNp,0.84,0.483,10,-8.838,0,0.157,0.273,0.0,0.111,0.198,91.992,337640
117,83,blurred lines,robin thicke featuring ti and pharrell,2014,199,559,True,0.163,0.111,0.9216,0.644,0n4bITAu0Y0nigrz3MFJMb,0.862,0.608,7,-4.762,1,0.0402,0.00373,6.14e-06,0.0856,0.836,120.002,263827
118,82,la la la,naughty boy featuring sam smith,2014,83,558,True,0.049,0.082,-0.9685,0.851,36pLU2ywVeBKEF0rrKtmCB,0.772,0.65,6,-5.202,0,0.0306,0.107,1.13e-06,0.0905,0.262,125.082,222200
119,81,bartender,lady antebellum,2014,141,325,True,0.102,0.082,0.8757,0.566,5kxddRG1RZaZROadk7iC4D,0.675,0.394,8,-8.539,1,0.133,0.0611,0.0,0.214,0.405,104.987,238800
120,80,birthday,katy perry,2014,100,350,True,0.237,0.08,0.9951,0.714,2xLOMHjkOK8nzxJ4r6yOKR,0.719,0.674,11,-5.122,1,0.0681,0.0879,3.75e-06,0.112,0.843,125.98,215042
121,79,drunk on a plane,dierks bentley,2014,150,386,True,0.138,0.144,-0.4234,0.611,1soxUgYIZb1qx1c7o1Lc7z,0.439,0.754,9,-5.566,1,0.0323,0.00512,7.45e-06,0.186,0.668,205.958,254467
122,84,do what u want,lady gaga featuring r kelly,2014,142,536,False,0.177,0.06,0.981,0.735,44JqKUXiWTaRrDQUx7CwsT,0.789,0.827,9,-4.373,1,0.0647,0.326,1.0e-05,0.0949,0.574,97.518,227307
123,77,new flame,chris brown featuring usher and rick ross,2014,149,424,True,0.094,0.161,-0.9901,0.649,3nw9J97nUugT84SIJdjhAV,0.709,0.638,1,-4.3,1,0.0405,0.0649,0.0,0.0969,0.468,141.994,244133
124,76,leave the night on,sam hunt,2014,142,392,True,0.126,0.071,0.9815,0.638,3wx2kQWPn9p5UppQbNhPAk,0.514,0.951,9,-3.813,1,0.0603,0.0951,0.0,0.349,0.838,171.96,192160
125,75,sweater weather,the neighbourhood,2014,136,348,False,0.122,0.073,0.9776,0.609,2QjOHCTQ1Jl3zawyYOpxh6,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400
126,74,brave,sara bareilles,2014,137,399,True,0.134,0.051,0.9884,0.657,6Uy6K3KdmUdAfelUp0SeXn,0.551,0.836,10,-3.838,0,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,220573
127,73,american kids,kenny chesney,2014,139,260,True,0.054,0.061,0.278,0.465,1dgWTMoHwTUnQhOQ8SR5fV,0.733,0.589,7,-7.37,1,0.1,0.0476,5.85e-06,0.0366,0.867,170.097,182960
128,78,love never felt so good,michael jackson and justin timberlake,2014,52,293,True,0.249,0.092,0.9966,0.823,48td6xvpokdYwvbl3JIiXP,0.775,0.719,7,-6.212,0,0.0435,0.132,1.79e-06,0.0662,0.712,117.513,246027
129,71,animals,martin garrix,2014,5,11,True,0.0,0.0,0.0,0.545,2bL2gyO6kBdLkNSkxXNh6x,0.279,0.742,4,-6.46,0,0.0898,0.000185,0.0,0.593,0.328,189.868,231013
130,70,me and my broken heart,rixton,2014,86,378,True,0.258,0.137,0.9955,0.772,1oew3nFNY3vMacJAsvry0S,0.544,0.774,5,-4.21,0,0.0339,0.00682,0.0,0.135,0.522,174.121,193733
131,69,shower,becky g,2014,132,389,True,0.087,0.036,0.9323,0.661,3DmW6y7wTEYHJZlLo1r6XJ,0.699,0.529,2,-7.548,1,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,206167
132,68,bottoms up,brantley gilbert,2014,129,403,True,0.155,0.043,0.992,0.68,2IpGdrWvIZipmaxo1YRxw5,0.845,0.601,1,-5.283,1,0.161,0.0205,0.0,0.385,0.329,74.008,242013
133,67,love runs out,onerepublic,2014,108,433,True,0.278,0.128,0.9978,0.751,5BJSZocnCeSNeYMj3iVqM7,0.719,0.935,7,-3.752,1,0.0589,0.167,0.0,0.0973,0.738,120.022,224227
